symbol,name,lastsale,netchange,pctchange,marketCap,url
VERA,"Vera Therapeutics, Inc. Class A Common Stock",$44.90,2.29,5.374%,"2,870,370,163",/market-activity/stocks/vera
DXCM,"DexCom, Inc. Common Stock",$65.49,0.24,0.368%,"2,839,734,091",/market-activity/stocks/dxcm
SLNO,"Soleno Therapeutics, Inc. Common Stock",$51.37,-1.31,-2.487%,"2,759,083,984",/market-activity/stocks/slno
BEAM,Beam Therapeutics Inc. Common Stock,$27.09,-1.82,-6.295%,"2,748,956,233",/market-activity/stocks/beam
RCUS,"Arcus Biosciences, Inc. Common Stock",$25.45,0.19,0.752%,"2,747,926,491",/market-activity/stocks/rcus
OCUL,"Ocular Therapeutix, Inc. Common Stock",$12.58,0.15,1.207%,"2,680,137,198",/market-activity/stocks/ocul
TERN,"Terns Pharmaceuticals, Inc. Common Stock",$29.36,2.23,8.22%,"2,644,742,370",/market-activity/stocks/tern
SUPN,"Supernus Pharmaceuticals, Inc. Common Stock",$45.68,0.58,1.286%,"2,619,261,508",/market-activity/stocks/supn
SYRE,"Spyre Therapeutics, Inc. Common Stock",$33.45,-0.06,-0.179%,"2,595,456,749",/market-activity/stocks/syre
BKD,Brookdale Senior Living Inc. Common Stock,$10.78,0.14,1.316%,"2,561,925,126",/market-activity/stocks/bkd
LFST,"LifeStance Health Group, Inc. Common Stock",$6.48,0.02,0.31%,"2,520,721,821",/market-activity/stocks/lfst
EWTX,"Edgewise Therapeutics, Inc. Common Stock",$23.59,-0.12,-0.506%,"2,497,436,358",/market-activity/stocks/ewtx
CON,"Concentra Group Holdings Parent, Inc. Common Stock",$19.47,-0.07,-0.358%,"2,495,473,833",/market-activity/stocks/con
RXRX,"Recursion Pharmaceuticals, Inc. Class A Common Stock",$4.71,-0.21,-4.268%,"2,448,435,025",/market-activity/stocks/rxrx
ITGR,Integer Holdings Corporation Common Stock,$69.84,-0.78,-1.105%,"2,447,083,672",/market-activity/stocks/itgr
HTFL,"Heartflow, Inc. Common Stock",$27.53,-1.405,-4.856%,"2,344,419,534",/market-activity/stocks/htfl
SRPT,"Sarepta Therapeutics, Inc. Common Stock (DE)",$22.26,-0.56,-2.454%,"2,332,562,783",/market-activity/stocks/srpt
